date,BR_gdp_252,EU_gdp_252,US_gdp_252,BR_cpi_252,EU_cpi_252,US_cpi_252,BR_gdp_current,EU_gdp_current,US_gdp_current,BR_cpi_current,EU_cpi_current,US_cpi_current
2018-01-01,-3.5,0.1,-0.4500000000000002,-10.2,-2.55,1.12,8.5,-4.9,9.55,-6.2,2.45,2.12
2018-01-02,2.5,7.1,13.55,-14.15,7.45,0.1200000000000001,-2.5,9.1,10.55,20.85,8.45,-2.88
2018-01-03,3.5,5.1,14.55,7.85,0.4499999999999999,-5.88,-3.5,1.1,12.55,-0.1499999999999999,-6.55,8.120000000000001
2018-01-04,-0.5,0.1,-7.45,-7.15,0.4499999999999999,11.12,0.5,-2.9,15.55,-15.15,4.45,-6.88
2018-01-05,0.5,3.1,13.59,-6.15,-5.55,1.17,7.5,0.1,10.59,12.85,-5.55,-5.83
2018-01-06,2.5,10.1,-2.41,14.85,3.45,4.17,1.5,11.1,-10.41,9.85,0.4499999999999999,-5.83
2018-01-07,-3.5,3.1,-10.41,20.85,2.45,6.17,7.5,0.1,10.59,13.85,6.45,3.17
2018-01-08,6.5,0.1,10.59,-12.15,-1.55,1.17,3.5,8.1,8.59,13.85,5.45,7.17
2018-01-09,-8.5,-0.8999999999999999,8.59,-15.15,1.45,7.17,1.5,5.1,15.59,-7.15,-5.55,8.17
2018-01-10,7.5,-5.9,-0.4100000000000001,5.85,5.45,-7.83,0.5,9.1,-3.41,-6.15,0.4499999999999999,11.17
2018-01-11,-7.5,9.1,0.6000000000000001,5.85,-5.55,2.2,-0.5,11.1,14.6,-15.15,-4.55,-3.8
2018-01-12,3.5,3.098850574712644,14.59846743295019,-6.148659003831417,-5.549425287356322,4.2,-2.5,2.1,5.6,20.85,1.45,4.2
2018-01-13,-1.5000000000000004,7.098850574712643,-1.4015325670498084,-13.148659003831416,1.450574712643678,6.2,9.5,4.1,12.6,0.8500000000000001,6.45,-6.8
2018-01-14,4.5,-2.9011494252873566,-0.4015325670498084,14.851340996168584,6.450574712643678,-7.8,0.5,5.1,9.6,20.85,5.45,2.2
2018-01-15,-2.5,-0.8030651340996164,10.596934865900383,-7.147318007662835,-4.499233716475096,3.2,5.5,1.2000000000000002,15.6,-4.15,-6.5,1.2000000000000002
2018-01-16,9.5,-4.804597701149426,12.595402298850574,-13.145977011494251,-0.4988505747126437,5.2,-6.5,7.2,-10.4,8.85,6.5,-8.8
2018-01-17,11.5,-1.8061302681992333,-4.406130268199234,7.85536398467433,1.5015325670498088,-4.8,4.5,-5.8,-11.4,17.85,-6.5,12.2
2018-01-18,-3.5,-3.807662835249042,-10.407662835249042,16.856704980842913,-5.498084291187739,-7.8,-0.5,10.2,2.6,-7.15,6.5,-0.7999999999999998
2018-01-19,9.5,2.190804597701149,9.59080459770115,17.858045977011493,5.502298850574713,-0.8000000000000003,5.5,6.2,15.6,20.85,5.5,3.2
2018-01-20,11.5,3.190804597701149,1.590804597701149,16.858045977011493,6.502298850574713,-6.800000000000001,-1.5,-1.7999999999999998,12.6,-1.15,6.5,4.2
2018-01-21,2.5,11.190804597701147,-3.409195402298851,12.858045977011496,7.502298850574713,3.2,9.5,1.2000000000000002,-1.4,-2.15,-2.5,9.2
2018-01-22,1.5,-0.8107279693486591,3.5892720306513413,-12.140613026819924,5.502681992337164,11.2,-6.5,11.2,12.6,-10.15,-4.5,-5.8
2018-01-23,5.5,-1.8122605363984672,13.587739463601531,-0.139272030651341,-4.496934865900383,-6.8,-4.5,-3.8,-1.4,-2.15,5.5,-4.8
2018-01-24,9.5,2.1862068965517243,6.586206896551724,18.86206896551724,-1.4965517241379311,-3.8,2.5,-0.7999999999999998,12.6,9.85,-5.5,-5.8
2018-01-25,-4.5,-6.815325670498083,11.584674329501915,15.863409961685823,0.5038314176245211,6.2,7.5,2.2,0.6000000000000001,-2.15,3.5,-7.8
2018-01-26,0.6063218390804597,-4.816858237547892,-8.416858237547892,1.8168582375478923,7.504214559386973,9.2,-0.3999999999999999,1.2000000000000002,6.6,12.8,-1.5,-8.8
2018-01-27,8.60632183908046,-2.8168582375478928,-8.416858237547892,1.8168582375478923,-3.4957854406130267,2.2,-2.4,-5.8,10.6,6.8,-1.5,9.2
2018-01-28,-8.39367816091954,-3.8168582375478928,-9.416858237547892,9.816858237547892,3.5042145593869733,-3.8,7.6,-1.7999999999999998,12.6,14.8,0.5,9.2
2018-01-29,4.511494252873563,6.181609195402299,8.581609195402299,-6.200689655172414,3.504597701149425,-3.8,2.5,1.2000000000000002,-10.4,14.78,-2.5,7.2
